CCAA,Sex,Year,Inf_Secundaria_25_64,Inf_Secundaria_25_34,Inf_Secundaria_55_64,Segunda_Etapa_25_64,Segunda_Etapa_25_34,Segunda_Etapa_55_64,Superior_25_64,Superior_25_34,Superior_55_64,Age12_Suitability,Age15_Suitability
Cataluna,Female,2023,30.0,21.0,40.5,22.1,19.4,25.6,47.9,59.6,33.9,95.9,90.9
Comunitat Valenciana,Female,2023,36.7,20.9,51.1,21.3,20.3,24.1,42.0,58.8,24.8,89.4,77.1
Extremadura,Female,2023,40.1,21.0,58.0,20.2,22.0,19.5,39.7,56.9,22.5,88.2,77.6
Galicia,Female,2023,31.8,17.5,50.2,22.1,20.5,21.7,46.1,62.1,28.1,91.3,81.9
"Madrid, Comunidad de",Female,2023,24.3,16.4,31.0,22.6,16.4,28.0,53.1,67.3,41.0,87.9,75.9
"Murcia, Region de",Female,2023,41.5,30.4,53.8,22.3,21.6,20.5,36.2,48.0,25.7,84.6,72.4
"Navarra, Comunidad Foral de",Female,2023,26.9,23.4,36.6,20.5,16.6,21.0,52.6,60.0,42.4,85.0,80.6
Pais Vasco,Female,2023,20.1,10.4,33.6,21.1,17.8,25.3,58.8,71.9,41.2,90.4,83.7
"Rioja, La",Female,2023,32.4,23.3,41.8,21.3,18.3,23.8,46.3,58.5,34.4,83.4,72.5
Ceuta y Meliilla,Female,2023,48.0,30.4,53.1,22.6,24.4,27.3,29.4,45.2,19.6,87.5,63.2
Andalucia,Male,2022,47.2,39.8,56.2,21.1,23.0,18.1,31.7,37.1,25.7,85.1,66.4
Aragon,Male,2022,36.2,25.0,46.7,24.1,22.0,21.1,39.8,53.0,32.2,82.3,70.3
"Asturias, Principado de",Male,2022,34.5,23.2,45.4,25.0,30.3,22.5,40.6,46.5,32.1,88.8,76.4
"Balears, Illes",Male,2022,41.6,37.3,49.4,29.5,30.5,27.0,29.0,32.2,23.7,84.7,68.1
Canarias,Male,2022,40.2,27.6,53.1,27.3,33.5,22.3,32.5,38.9,24.6,86.0,68.8
Cantabria,Male,2022,32.4,27.0,38.4,25.4,25.1,23.7,42.2,47.9,37.8,87.9,76.2
Castilla y Leon,Male,2022,39.8,31.4,47.0,25.2,25.8,25.3,34.9,42.8,27.6,82.9,71.2
Castilla-La Mancha,Male,2022,49.3,38.4,61.3,22.1,22.9,18.9,28.5,38.7,19.7,81.6,66.4
Cataluna,Male,2022,36.3,30.4,45.0,22.3,18.8,23.9,41.4,50.8,31.1,94.0,85.0
Comunitat Valenciana,Male,2022,43.6,36.0,50.2,22.2,20.8,21.1,34.2,43.1,28.7,85.0,71.1
Extremadura,Male,2022,54.3,42.4,65.2,19.0,23.7,16.6,26.8,33.9,18.2,82.9,72.4
Galicia,Male,2022,39.1,25.3,50.7,22.9,30.3,18.0,37.9,44.5,31.3,87.1,76.2
"Madrid, Comunidad de",Male,2022,26.1,23.0,29.8,26.7,28.1,29.9,47.3,48.9,40.4,84.5,70.4
"Murcia, Region de",Male,2022,50.5,42.3,55.4,22.5,23.9,20.0,27.1,33.8,24.6,80.6,66.0
"Navarra, Comunidad Foral de",Male,2022,31.3,20.3,42.3,22.7,22.6,21.8,46.0,57.1,35.9,83.6,75.2
Pais Vasco,Male,2022,24.1,17.4,30.4,22.9,22.2,25.1,53.0,60.4,44.5,86.6,76.4
"Rioja, La",Male,2022,38.3,36.3,43.9,24.2,21.6,22.3,37.4,42.0,33.8,82.2,71.7
Ceuta y Melilla,Male,2022,51.3,45.9,59.5,23.7,19.6,20.2,25.0,34.5,20.3,77.8,54.2
Andalucia,Female,2022,40.2,27.0,56.1,21.5,22.8,18.9,38.3,50.2,25.0,89.4,74.2
Aragon,Female,2022,29.1,18.9,40.7,24.1,23.0,25.8,46.8,58.0,33.5,86.5,76.0
"Asturias, Principado de",Female,2022,29.2,17.7,42.9,24.8,19.8,26.6,46.0,62.5,30.5,92.2,82.2
"Balears, Illes",Female,2022,35.3,28.5,48.3,26.3,25.6,24.8,38.4,45.8,26.9,89.2,75.3
Canarias,Female,2022,32.3,17.1,49.2,26.5,30.8,22.3,41.2,52.1,28.4,89.9,76.9
Cantabria,Female,2022,26.9,19.8,40.5,24.0,22.3,25.7,49.1,57.9,33.8,91.0,79.8
Castilla y Leon,Female,2022,30.4,23.6,43.1,24.6,23.0,24.7,45.1,53.4,32.3,87.6,77.7
Castilla-La Mancha,Female,2022,42.2,27.2,59.2,23.3,25.6,19.5,34.6,47.2,21.3,85.7,73.6
Cataluna,Female,2022,30.0,19.5,40.2,22.2,20.0,26.3,47.8,60.5,33.5,95.4,89.7
Comunitat Valenciana,Female,2022,37.9,24.4,53.7,21.3,19.2,23.8,40.8,56.4,22.5,89.0,78.0
Extremadura,Female,2022,42.2,25.8,63.7,20.4,17.9,17.5,37.4,56.3,18.8,87.1,77.6
Galicia,Female,2022,31.6,17.6,50.2,21.1,21.6,19.8,47.3,60.8,30.0,90.5,81.6
"Madrid, Comunidad de",Female,2022,22.4,13.5,31.6,24.4,19.9,29.0,53.2,66.6,39.4,87.7,76.3
"Murcia, Region de",Female,2022,43.4,34.1,54.8,20.9,20.6,20.1,35.7,45.2,25.1,84.8,73.2
"Navarra, Comunidad Foral de",Female,2022,24.4,21.1,34.9,24.2,20.6,28.6,51.4,58.4,36.5,85.7,78.6
Pais Vasco,Female,2022,20.3,11.4,32.7,19.9,18.5,24.8,59.8,70.1,42.6,90.0,83.8
"Rioja, La",Female,2022,28.3,20.3,40.9,24.4,26.2,23.3,47.3,53.5,35.8,85.5,75.2
Ceuta y Melilla,Female,2022,45.0,30.0,48.9,19.9,20.1,24.5,35.1,49.9,26.6,85.6,66.8
Andalucia,Male,2021,48.3,40.8,56.2,21.0,22.4,19.9,30.7,36.7,23.9,85.2,66.8
Aragon,Male,2021,33.8,25.3,43.6,29.1,28.5,26.1,37.1,46.2,30.3,81.7,71.0
"Asturias, Principado de",Male,2021,31.8,22.4,43.3,26.1,30.8,24.9,42.2,46.8,31.8,88.2,75.6
"Balears, Illes",Male,2021,38.8,31.9,47.9,29.9,30.3,26.2,31.4,37.8,25.9,83.8,69.7
Canarias,Male,2021,41.8,35.8,52.7,26.3,31.8,22.4,31.9,32.4,24.9,84.3,67.2
Cantabria,Male,2021,34.7,29.6,44.0,25.2,23.3,23.3,40.2,47.1,32.6,86.7,75.8
Castilla y Leon,Male,2021,41.1,34.9,49.4,25.1,27.9,24.1,33.8,37.2,26.5,81.2,71.1
Castilla-La Mancha,Male,2021,49.9,41.1,60.8,22.9,23.7,19.1,27.2,35.2,20.2,80.6,66.3
Cataluna,Male,2021,37.7,29.2,44.7,22.0,20.0,22.8,40.3,50.8,32.4,93.2,83.2
Comunitat Valenciana,Male,2021,41.4,37.5,50.8,23.0,24.0,21.3,35.6,38.5,27.9,83.5,68.6
Extremadura,Male,2021,53.9,44.7,66.4,21.0,26.3,18.0,25.1,29.1,15.6,82.3,70.6
Galicia,Male,2021,40.5,29.8,53.0,21.7,27.9,18.9,37.8,42.3,28.1,86.5,74.1
"Madrid, Comunidad de",Male,2021,27.8,25.9,32.1,24.1,21.4,28.3,48.1,52.6,39.6,83.1,71.7
"Murcia, Region de",Male,2021,45.1,37.8,52.7,23.8,30.5,19.8,31.1,31.7,27.5,80.7,66.4
"Navarra, Comunidad Foral de",Male,2021,32.1,19.3,47.1,22.6,24.1,23.5,45.3,56.6,29.3,82.5,74.7
